45.5,23,0.72,101.7200828
23,11,0.72,28.34964897
22.6,16.5,0.69,29.22125977
32,10.5,0.69,42.0715991
44,17.16,0.66,111.191823
22.3,10,0.68,26.59198536
21.4,17.5,0.72,28.01705702
31.87,19.37,0.72,98.82989216
39.2,19.5,0.72,56.18058703
43,18,0.72,64.4011055
25.9,12.9,0.72,76.99719204
28.73,18.1,0.72,78.84395598
24,16.5,0.72,31.6672613
25.8,13,0.72,45.66587942
70.5,18.25,0.72,96.3268804
21,14,0.72,26.03103232
31.81,19.33,0.72,95.17447864
39.4,17.66,0.72,116.4699016
35.7,15.87,0.72,95.64397207
43.75,15.99,0.72,172.5595346
25,17.32,0.72,62.04843479
20,12.5,0.72,30.08222401
26.45,15.99,0.72,88.93209241
26.77,13.87,0.72,68.2775043
32.5,17.5,0.72,65.0247428
31.27,18.93,0.72,91.71631424
40.37,20,0.72,125.906767
23,13.5,0.72,42.14493732
33,10.83,0.72,72.18264871
31.27,18.93,0.72,91.71631424
42.25,22,0.72,101.6493167
20,14,0.72,31.36023849
24.35,13.75,0.72,54.53639822
25.6,21.5,0.72,48.32410276
23,24.5,0.72,48.71593112
30,22.5,0.72,50.08602366
26.66,19.82,0.72,78.34531007
35,17,0.72,43.62169209
53.9,20,0.72,249.6942847
45.7,26,0.72,117.839282
27.8,18.2,0.72,106.9707161
20.5,14,0.72,32.59783993
26,18,0.72,35.50558926
20.5,14,0.72,32.59783993
36,17.99,0.72,99.46324655
26,10.5,0.72,27.99395866
38,20,0.7,53.08637204
20,11,0.7,18.82924356
28,22,0.7,46.12794856
23,21,0.7,43.34824033
33,31.5,0.63,70.56221161
25.83,18.87,0.69,59.46230429
345,16.5,0.69,111.5461779
90,25.75,0.69,298.5614258
68.4,18,0.69,106.0979164
38.6,14.2,0.69,106.6527513
24.6,11.5,0.69,39.8150115
28,22.5,0.69,42.3745028
23.5,10,0.69,27.53831463
24.5,23,0.69,51.91228863
37,17.5,0.69,60.61857285
24,10,0.69,26.75876101
24.6,11.5,0.69,39.8150115
43.5,23,0.69,75.82066826
45,22.5,0.69,109.4349764
26,16.5,0.69,35.74369446
32.3,15,0.69,39.82375601
26,22,0.66,40.82526856
40.5,14.5,0.66,45.37826291
50,3,0.66,31.08585029
45,13.5,0.69,53.41612333
26.5,13.5,0.66,34.26467578
24.5,17.75,0.66,49.2885166
25,21,0.66,40.81675988
32.5,18.75,0.66,64.96377766
36.5,17.75,0.66,66.25261948
32,10,0.71,35.35316037
38.12,18,0.68,106.327345
38.12,18,0.68,106.327345
28,20.5,0.63,43.69516224
20,12.5,0.68,24.24199915
37.5,25.5,0.68,64.77322405
28,14,0.68,38.59382124
40.5,24,0.68,72.85997624
32,11.5,0.48,28.57822168
27,15,0.42,21.52365706
59,28.5,0.42,145.8392905
40.5,28,0.42,104.1952699
35,9,0.42,27.42629791
46,25.75,0.42,181.0133586
32,13.99,0.42,46.51246514
22,20,0.42,22.16311082
30,20.5,0.42,30.34440528
20,18,0.42,21.84772375
32,14,0.42,30.38686667
32,13.5,0.42,31.32795542
23.5,15,0.42,26.73590083
40.5,26.5,0.51,64.71600557
61,22.5,0.51,111.5855356
34,19.5,0.51,38.18665692
28.6,19.75,0.51,71.27389851
31.25,15.25,0.51,40.79240017
29,23.5,0.51,36.50370164
25,14.87,0.51,52.58771084
26,6.5,0.51,16.53626007
22,15.5,0.51,22.21639633
36.5,17.25,0.51,56.27075518
26,13,0.51,29.20109902
36.5,17.25,0.51,56.27075518
23,14,0.46,22.01683219
35.62,22.5,0.46,116.1794074
28.5,12.5,0.46,23.46242785
31.36,16.49,0.46,58.99587506
41,19,0.46,42.89256236
37.06,17.49,0.46,81.45670191
41,19,0.46,42.89256236
64.5,24.75,0.46,195.4968803
37.25,22.5,0.46,68.21873174
33.3,21.5,0.46,48.77201944
29,16,0.46,27.34104353
20,18,0.46,24.3565217
43,24.5,0.53,64.05048289
35.75,19.75,0.44,60.76374609
98,26.5,0.44,189.7886683
215,43,0.44,458.1013311
76,25.5,0.44,211.3178306
37.25,24.25,0.44,94.53265262
76,29,0.44,207.9771742
31,17,0.44,29.59807357
48,17,0.44,46.08663862
86,23,0.44,174.6204824
68,29.5,0.44,53.38040538
95,27.5,0.44,131.122847
65.5,30.5,0.44,127.5335265
36.5,25,0.44,51.87710241
110,26,0.63,335.2450565
78,26,0.57,117.818662
